Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,132.21,0.24
0.0,132.22,-0.5
0.0,132.23,-0.44
0.0,132.24,0.28
0.0,132.25,-0.34
0.0,132.26,0.09
0.0,132.27,0.09
0.0,132.28,-0.03
0.0,132.29,0.17
0.0,132.3,0.12
0.0,132.31,-0.3
0.0,132.32,-0.07
0.0,132.33,-0.09
0.0,132.34,0.31
0.0,132.35,-0.18
0.0,132.36,0.11
0.0,132.37,-0.1
0.0,132.38,-0.06
0.0,132.39,0.04
0.0,132.4,0.15
0.0,132.41,0.49
0.0,132.42,-0.06
0.0,132.43,-0.07
0.0,132.44,0.09
0.0,132.45,-0.61
0.0,132.46,0.03
0.0,132.47,0.02
0.0,132.48,-0.08
0.0,132.49,0.38
0.0,132.5,-0.1
0.0,132.51,0.23
0.0,132.52,-0.42
0.0,132.53,-0.04
0.0,132.54,-0.07
0.0,132.55,0.54
0.0,132.56,-0.29
0.0,132.57,-0.11
0.0,132.58,0.49
0.0,132.59,-0.19
0.0,132.6,-0.16
0.0,132.61,-0.16
0.0,132.62,-0.1
0.0,132.63,0.42
0.0,132.64,-0.12
0.0,132.65,-0.44
0.0,132.66,0.04
0.0,132.67,0.13
0.0,132.68,-0.08
0.0,132.69,0.31
0.0,132.7,0.19
0.0,132.71,-0.25
0.0,132.72,0.07
0.0,132.73,0.06
0.0,132.74,-0.22
0.0,132.75,-0.25
0.0,132.76,0.12
0.0,132.77,0.11
0.0,132.78,0.15
0.0,132.79,0.24
0.0,132.8,-0.28
0.0,132.81,-0.22
0.0,132.82,0.16
0.0,132.83,0.12
0.0,132.84,-0.16
0.0,132.85,-0.14
0.0,132.86,0.41
0.0,132.87,-0.01
0.0,132.88,0.27
0.0,132.89,-0.31
0.0,132.9,0.02
0.0,132.91,-0.04
0.0,132.92,-0.01
0.0,132.93,-0.33
0.0,132.94,0.12
0.0,132.95,0.49
0.0,132.96,0.07
0.0,132.97,0.12
0.0,132.98,-0.82
0.0,132.99,0.06
0.0,133.0,0.03
0.0,133.01,0.32
0.0,133.02,-0.48
0.0,133.03,0.28
0.0,133.04,0.32
0.0,133.05,-0.12
0.0,133.06,0.02
0.0,133.07,-0.24
0.0,133.08,-0.1
0.0,133.09,0.09
0.0,133.1,-0.14
0.0,133.11,-0.06
