Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
36.7,109.66,-0.16
36.87,109.67,0.5
36.86,109.68,-0.03
36.66,109.69,-0.57
36.89,109.7,0.66
36.75,109.71,-0.4
36.46,109.72,-0.83
36.26,109.73,-0.58
36.36,109.74,0.3
36.42,109.75,0.16
36.01,109.76,-1.16
35.86,109.77,-0.43
35.92,109.78,0.19
36.21,109.79,0.8
35.97,109.8,-0.67
36.13,109.81,0.45
36.59,109.82,1.3
36.77,109.83,0.52
36.96,109.84,0.55
37.33,109.85,1.05
37.13,109.86,-0.58
36.76,109.87,-1.05
36.14,109.88,-1.74
35.97,109.89,-0.49
36.32,109.9,0.98
36.41,109.91,0.26
36.54,109.92,0.36
36.54,109.93,0.02
36.19,109.94,-1.01
36.51,109.95,0.9
36.18,109.96,-0.91
35.99,109.97,-0.55
35.61,109.98,-1.07
35.43,109.99,-0.51
35.57,110.0,0.38
35.71,110.01,0.41
35.66,110.02,-0.15
35.87,110.03,0.61
36.24,110.04,1.03
36.15,110.05,-0.26
36.14,110.06,0.0
36.26,110.07,0.33
36.37,110.08,0.31
36.38,110.09,0.04
36.59,110.1,0.6
36.59,110.11,0.0
36.49,110.12,-0.29
35.98,110.13,-1.46
36.4,110.14,1.21
36.87,110.15,1.31
37.18,110.16,0.87
36.84,110.17,-0.94
36.64,110.18,-0.58
36.9,110.19,0.73
36.73,110.2,-0.47
36.89,110.21,0.44
36.86,110.22,-0.08
36.97,110.23,0.3
36.9,110.24,-0.2
37.55,110.25,1.83
37.25,110.26,-0.83
36.99,110.27,-0.74
36.83,110.28,-0.46
36.6,110.29,-0.65
36.44,110.3,-0.44
36.17,110.31,-0.76
35.89,110.32,-0.8
36.1,110.33,0.58
36.35,110.34,0.71
36.26,110.35,-0.24
36.14,110.36,-0.35
36.21,110.37,0.21
36.46,110.38,0.7
36.72,110.39,0.73
37.08,110.4,1.03
36.78,110.41,-0.85
36.66,110.42,-0.34
36.69,110.43,0.09
36.72,110.44,0.07
36.95,110.45,0.65
37.22,110.46,0.76
37.09,110.47,-0.36
36.73,110.48,-1.03
36.62,110.49,-0.31
36.5,110.5,-0.34
36.44,110.51,-0.18
36.43,110.52,-0.03
36.41,110.53,-0.05
36.57,110.54,0.46
36.99,110.55,1.18
37.14,110.56,0.42
36.92,110.57,-0.61
36.74,110.58,-0.52
36.41,110.59,-0.92
36.45,110.6,0.11
36.61,110.61,0.45
36.73,110.62,0.34
36.78,110.63,0.12
36.42,110.64,-1.01
36.43,110.65,0.02
36.75,110.66,0.93
36.82,110.67,0.17
36.73,110.68,-0.23
36.34,110.69,-1.11
35.99,110.7,-1.0
35.9,110.71,-0.25
35.72,110.72,-0.5
35.82,110.73,0.28
36.09,110.74,0.76
36.36,110.75,0.75
36.12,110.76,-0.67
35.97,110.77,-0.41
35.73,110.78,-0.7
35.65,110.79,-0.22
35.55,110.8,-0.29
35.69,110.81,0.4
35.86,110.82,0.48
36.03,110.83,0.48
36.37,110.84,0.98
36.45,110.85,0.22
36.53,110.86,0.23
36.69,110.87,0.44
36.69,110.88,0.0
