Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
0.0,75.0,-0.67
0.0,75.01,0.27
0.0,75.02,-0.19
0.0,75.03,0.7
0.0,75.04,0.29
0.0,75.05,-0.27
0.0,75.06,-0.79
0.0,75.07,-0.06
0.0,75.08,1.19
0.0,75.09,0.1
0.0,75.1,0.04
0.0,75.11,-1.15
0.0,75.12,-0.56
0.0,75.13,0.52
0.0,75.14,-0.11
0.0,75.15,0.75
0.0,75.16,-1.11
0.0,75.17,0.73
0.0,75.18,-0.41
0.0,75.19,0.66
0.0,75.2,0.32
0.0,75.21,0.13
1.14,75.22,1.23
0.0,75.23,-0.62
0.0,75.24,-0.42
0.0,75.25,-0.65
0.0,75.26,-0.08
0.0,75.27,0.44
0.0,75.28,-1.53
0.0,75.29,0.63
0.0,75.3,0.58
0.0,75.31,-0.6
0.0,75.32,0.37
0.0,75.33,0.72
0.0,75.34,-1.04
0.0,75.35,0.01
0.0,75.36,-0.33
0.0,75.37,0.36
0.0,75.38,-0.42
0.0,75.39,0.26
0.0,75.4,0.6
0.0,75.41,0.27
0.0,75.42,-0.35
0.0,75.43,0.52
0.0,75.44,-0.92
0.0,75.45,0.44
0.0,75.46,-1.25
0.0,75.47,0.73
0.0,75.48,1.5
0.0,75.49,-0.67
0.0,75.5,0.24
0.0,75.51,-0.55
0.0,75.52,-0.83
0.0,75.53,-0.2
0.0,75.54,0.23
0.0,75.55,1.22
0.0,75.56,-0.6
0.0,75.57,-0.1
0.0,75.58,-0.1
0.0,75.59,1.51
1.1,75.6,0.56
0.0,75.61,-2.05
0.0,75.62,-0.49
0.0,75.63,0.02
0.0,75.64,0.61
0.0,75.65,-0.31
0.0,75.66,0.61
0.0,75.67,-0.72
0.0,75.68,1.44
0.0,75.69,-0.42
0.0,75.7,-0.11
0.0,75.71,0.46
0.0,75.72,-0.24
0.0,75.73,-1.46
0.0,75.74,-0.08
0.0,75.75,0.03
0.0,75.76,1.36
0.0,75.77,-0.31
0.0,75.78,0.21
0.0,75.79,0.39
0.0,75.8,0.31
0.0,75.81,-0.15
0.0,75.82,-1.42
0.0,75.83,-0.41
0.0,75.84,0.24
0.0,75.85,0.73
1.14,75.86,1.86
0.0,75.87,-0.96
0.0,75.88,-0.66
0.0,75.89,-0.9
0.0,75.9,0.35
0.0,75.91,-0.24
0.0,75.92,-0.25
0.0,75.93,0.74
0.0,75.94,-0.78
0.0,75.95,0.48
0.0,75.96,0.53
0.0,75.97,-0.77
0.0,75.98,0.53
0.0,75.99,0.29
