Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
31.87,192.35,-0.21
31.88,192.36,0.04
31.87,192.37,-0.03
32.07,192.38,0.56
31.98,192.39,-0.25
31.99,192.4,0.03
31.87,192.41,-0.35
31.89,192.42,0.05
31.76,192.43,-0.37
31.84,192.44,0.22
31.86,192.45,0.07
31.96,192.46,0.29
32.06,192.47,0.28
32.18,192.48,0.32
32.04,192.49,-0.39
32.04,192.5,0.01
32.04,192.51,-0.02
32.03,192.52,-0.01
32.03,192.53,-0.01
32.03,192.54,0.0
31.96,192.55,-0.19
31.88,192.56,-0.23
31.97,192.57,0.25
31.88,192.58,-0.26
32.09,192.59,0.6
32.09,192.6,0.01
32.07,192.61,-0.07
31.97,192.62,-0.29
31.91,192.63,-0.15
31.65,192.64,-0.74
31.73,192.65,0.22
31.84,192.66,0.3
31.74,192.67,-0.26
31.8,192.68,0.15
31.65,192.69,-0.42
31.38,192.7,-0.77
31.45,192.71,0.21
31.59,192.72,0.4
31.76,192.73,0.47
31.92,192.74,0.46
31.95,192.75,0.07
32.22,192.76,0.76
32.16,192.77,-0.17
31.98,192.78,-0.49
31.75,192.79,-0.67
31.43,192.8,-0.91
31.41,192.81,-0.03
31.42,192.82,0.02
31.61,192.83,0.55
31.89,192.84,0.79
32.03,192.85,0.37
32.27,192.86,0.69
32.17,192.87,-0.28
32.07,192.88,-0.27
32.05,192.89,-0.07
32.1,192.9,0.14
31.89,192.91,-0.6
31.84,192.92,-0.13
31.93,192.93,0.24
31.85,192.94,-0.2
31.71,192.95,-0.41
31.61,192.96,-0.3
31.52,192.97,-0.23
31.64,192.98,0.33
31.78,192.99,0.38
31.73,193.0,-0.13
31.46,193.01,-0.78
31.62,193.02,0.47
31.87,193.03,0.7
31.92,193.04,0.16
32.21,193.05,0.8
32.22,193.06,0.03
31.99,193.07,-0.64
32.14,193.08,0.43
32.09,193.09,-0.15
32.02,193.1,-0.19
31.92,193.11,-0.29
31.75,193.12,-0.49
31.66,193.13,-0.25
31.61,193.14,-0.13
31.79,193.15,0.52
