Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
15.55,36.06,-1.67
14.75,36.07,-2.25
14.58,36.08,-0.5
14.55,36.09,-0.06
14.38,36.1,-0.5
13.93,36.11,-1.27
14.33,36.12,1.13
14.93,36.13,1.7
14.61,36.14,-0.89
13.93,36.15,-1.93
13.72,36.16,-0.6
14.06,36.17,0.96
14.13,36.18,0.22
13.83,36.19,-0.87
13.96,36.2,0.38
14.32,36.21,1.0
14.09,36.22,-0.64
13.72,36.23,-1.05
13.5,36.24,-0.62
13.66,36.25,0.45
13.56,36.26,-0.28
14.38,36.27,2.31
14.83,36.28,1.29
14.11,36.29,-2.04
13.56,36.3,-1.56
13.85,36.31,0.82
14.64,36.32,2.24
14.51,36.33,-0.37
13.55,36.34,-2.72
13.57,36.35,0.06
13.8,36.36,0.64
13.5,36.37,-0.83
13.4,36.38,-0.31
13.8,36.39,1.16
13.61,36.4,-0.55
13.82,36.41,0.58
13.58,36.42,-0.65
12.96,36.43,-1.76
12.74,36.44,-0.64
12.88,36.45,0.4
13.43,36.46,1.58
13.58,36.47,0.41
13.5,36.48,-0.22
13.6,36.49,0.28
13.56,36.5,-0.13
13.49,36.51,-0.19
13.13,36.52,-1.02
13.04,36.53,-0.27
13.47,36.54,1.22
13.39,36.55,-0.21
13.48,36.56,0.25
13.83,36.57,0.98
13.88,36.58,0.13
13.59,36.59,-0.82
13.49,36.6,-0.28
13.42,36.61,-0.2
13.62,36.62,0.58
13.66,36.63,0.1
13.33,36.64,-0.93
13.09,36.65,-0.7
13.35,36.66,0.74
13.31,36.67,-0.1
12.8,36.68,-1.46
12.45,36.69,-0.98
12.94,36.7,1.4
13.11,36.71,0.48
13.02,36.72,-0.27
13.07,36.73,0.16
13.34,36.74,0.76
12.96,36.75,-1.07
12.63,36.76,-0.96
12.45,36.77,-0.49
12.55,36.78,0.27
12.58,36.79,0.11
12.84,36.8,0.71
12.61,36.81,-0.65
12.16,36.82,-1.26
11.77,36.83,-1.1
12.05,36.84,0.8
12.88,36.85,2.34
12.8,36.86,-0.24
12.67,36.87,-0.35
12.91,36.88,0.67
12.75,36.89,-0.45
12.6,36.9,-0.41
12.67,36.91,0.19
12.32,36.92,-1.01
12.68,36.93,1.02
13.15,36.94,1.33
12.76,36.95,-1.09
12.74,36.96,-0.05
12.98,36.97,0.67
12.82,36.98,-0.44
13.0,36.99,0.5
13.41,37.0,1.17
13.33,37.01,-0.24
12.78,37.02,-1.57
12.48,37.03,-0.84
12.26,37.04,-0.63
12.03,37.05,-0.67
11.57,37.06,-1.29
11.84,37.07,0.76
12.25,37.08,1.17
12.58,37.09,0.94
12.9,37.1,0.89
12.87,37.11,-0.08
12.03,37.12,-2.38
11.72,37.13,-0.87
11.64,37.14,-0.24
11.8,37.15,0.46
11.78,37.16,-0.06
12.14,37.17,1.01
12.51,37.18,1.06
12.48,37.19,-0.09
12.72,37.2,0.68
12.61,37.21,-0.31
12.46,37.22,-0.4
12.69,37.23,0.65
12.75,37.24,0.16
12.68,37.25,-0.2
12.46,37.26,-0.63
12.04,37.27,-1.18
11.73,37.28,-0.88
11.48,37.29,-0.7
11.62,37.3,0.37
11.75,37.31,0.38
11.89,37.32,0.39
12.05,37.33,0.48
11.93,37.34,-0.35
11.93,37.35,0.0
11.82,37.36,-0.33
11.95,37.37,0.37
11.53,37.38,-1.19
11.17,37.39,-1.0
11.38,37.4,0.58
11.86,37.41,1.37
12.0,37.42,0.4
11.88,37.43,-0.36
11.82,37.44,-0.17
