Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
10.27,1699.69,0.6
10.27,1699.7,0.01
10.24,1699.71,-0.09
10.36,1699.72,0.33
10.41,1699.73,0.14
9.61,1699.74,-2.26
8.66,1699.75,-2.68
8.29,1699.76,-1.06
8.65,1699.77,1.01
8.95,1699.78,0.85
9.3,1699.79,0.99
9.55,1699.8,0.73
9.9,1699.81,0.97
10.66,1699.82,2.16
10.21,1699.83,-1.28
9.56,1699.84,-1.82
8.83,1699.85,-2.06
8.48,1699.86,-1.0
8.49,1699.87,0.03
9.08,1699.88,1.65
9.29,1699.89,0.6
9.2,1699.9,-0.24
9.09,1699.91,-0.32
9.01,1699.92,-0.23
8.8,1699.93,-0.59
8.31,1699.94,-1.4
8.12,1699.95,-0.53
8.04,1699.96,-0.24
8.6,1699.97,1.61
9.72,1699.98,3.16
10.54,1699.99,2.34
10.45,1700.0,-0.26
10.05,1700.01,-1.14
9.57,1700.02,-1.36
9.26,1700.03,-0.88
8.9,1700.04,-1.03
8.22,1700.05,-1.93
7.96,1700.06,-0.73
8.34,1700.07,1.08
8.49,1700.08,0.43
8.75,1700.09,0.73
8.47,1700.1,-0.78
8.28,1700.11,-0.54
8.02,1700.12,-0.74
8.48,1700.13,1.3
9.01,1700.14,1.51
9.65,1700.15,1.81
9.6,1700.16,-0.15
9.63,1700.17,0.08
9.99,1700.18,1.04
10.45,1700.19,1.29
10.24,1700.2,-0.59
9.65,1700.21,-1.67
9.06,1700.22,-1.66
8.73,1700.23,-0.93
8.89,1700.24,0.44
9.18,1700.25,0.82
9.79,1700.26,1.73
10.82,1700.27,2.91
11.1,1700.28,0.79
10.38,1700.29,-2.05
8.84,1700.3,-4.36
8.3,1700.31,-1.51
8.73,1700.32,1.2
9.0,1700.33,0.78
8.91,1700.34,-0.27
8.55,1700.35,-1.02
8.09,1700.36,-1.3
8.09,1700.37,0.02
8.28,1700.38,0.52
8.66,1700.39,1.09
9.1,1700.4,1.25
9.39,1700.41,0.8
9.07,1700.42,-0.9
8.93,1700.43,-0.37
9.2,1700.44,0.76
9.68,1700.45,1.37
10.37,1700.46,1.94
10.16,1700.47,-0.59
10.26,1700.48,0.27
10.16,1700.49,-0.28
10.42,1700.5,0.75
10.41,1700.51,-0.04
10.34,1700.52,-0.2
9.71,1700.53,-1.79
9.41,1700.54,-0.84
9.07,1700.55,-0.97
9.22,1700.56,0.44
9.17,1700.57,-0.16
9.43,1700.58,0.75
10.0,1700.59,1.61
10.05,1700.6,0.14
11.08,1700.61,2.91
11.02,1700.62,-0.16
10.77,1700.63,-0.73
10.23,1700.64,-1.53
9.61,1700.65,-1.75
9.09,1700.66,-1.48
8.12,1700.67,-2.75
7.69,1700.68,-1.22
8.49,1700.69,2.29
10.25,1700.7,4.98
10.94,1700.71,1.96
10.51,1700.72,-1.23
10.11,1700.73,-1.14
10.74,1700.74,1.8
9.67,1700.75,-3.04
9.48,1700.76,-0.53
8.91,1700.77,-1.62
8.53,1700.78,-1.07
9.14,1700.79,1.71
10.95,1700.8,5.15
11.53,1700.81,1.63
11.17,1700.82,-1.0
11.1,1700.83,-0.22
11.5,1700.84,1.14
10.91,1700.85,-1.69
9.73,1700.86,-3.33
9.33,1700.87,-1.13
9.18,1700.88,-0.43
8.93,1700.89,-0.71
8.54,1700.9,-1.1
8.52,1700.91,-0.05
8.1,1700.92,-1.2
8.27,1700.93,0.48
8.67,1700.94,1.15
9.0,1700.95,0.94
9.02,1700.96,0.05
8.95,1700.97,-0.21
9.67,1700.98,2.06
9.76,1700.99,0.25
9.8,1701.0,0.09
9.54,1701.01,-0.73
9.41,1701.02,-0.37
9.81,1701.03,1.15
10.65,1701.04,2.37
10.31,1701.05,-0.97
9.31,1701.06,-2.84
8.68,1701.07,-1.78
8.9,1701.08,0.62
8.85,1701.09,-0.13
8.56,1701.1,-0.83
8.38,1701.11,-0.51
9.19,1701.12,2.3
10.11,1701.13,2.61
9.96,1701.14,-0.43
9.36,1701.15,-1.69
9.04,1701.16,-0.92
9.43,1701.17,1.12
9.47,1701.18,0.09
9.36,1701.19,-0.3
9.14,1701.2,-0.62
9.09,1701.21,-0.13
9.08,1701.22,-0.04
8.93,1701.23,-0.41
8.8,1701.24,-0.38
8.47,1701.25,-0.93
8.51,1701.26,0.12
8.44,1701.27,-0.21
8.43,1701.28,-0.01
8.58,1701.29,0.41
8.9,1701.3,0.92
8.71,1701.31,-0.55
8.38,1701.32,-0.92
8.13,1701.33,-0.71
8.31,1701.34,0.51
8.68,1701.35,1.04
9.23,1701.36,1.56
9.28,1701.37,0.14
9.19,1701.38,-0.25
9.16,1701.39,-0.09
9.38,1701.4,0.63
9.58,1701.41,0.57
9.56,1701.42,-0.06
9.56,1701.43,-0.01
9.13,1701.44,-1.22
9.03,1701.45,-0.27
8.98,1701.46,-0.14
8.53,1701.47,-1.29
8.2,1701.48,-0.91
7.88,1701.49,-0.92
8.12,1701.5,0.69
8.6,1701.51,1.35
9.13,1701.52,1.5
9.2,1701.53,0.2
8.83,1701.54,-1.07
8.65,1701.55,-0.51
8.24,1701.56,-1.14
8.18,1701.57,-0.18
7.77,1701.58,-1.16
7.3,1701.59,-1.34
6.98,1701.6,-0.89
6.46,1701.61,-1.47
6.68,1701.62,0.62
7.05,1701.63,1.04
7.05,1701.64,0.01
7.1,1701.65,0.12
7.54,1701.66,1.25
7.83,1701.67,0.82
8.26,1701.68,1.22
8.81,1701.69,1.57
8.78,1701.7,-0.08
8.75,1701.71,-0.08
9.01,1701.72,0.74
9.02,1701.73,0.03
9.41,1701.74,1.08
9.63,1701.75,0.65
9.21,1701.76,-1.2
9.46,1701.77,0.71
9.58,1701.78,0.34
9.58,1701.79,0.01
9.32,1701.8,-0.75
9.03,1701.81,-0.83
8.79,1701.82,-0.68
9.04,1701.83,0.71
9.06,1701.84,0.05
9.23,1701.85,0.48
9.08,1701.86,-0.42
8.92,1701.87,-0.46
8.97,1701.88,0.14
8.9,1701.89,-0.18
8.84,1701.9,-0.19
9.18,1701.91,0.96
9.54,1701.92,1.03
10.07,1701.93,1.51
9.9,1701.94,-0.49
9.71,1701.95,-0.52
9.23,1701.96,-1.36
9.03,1701.97,-0.59
9.5,1701.98,1.35
9.74,1701.99,0.68
9.83,1702.0,0.25
10.0,1702.01,0.47
10.21,1702.02,0.59
10.83,1702.03,1.78
11.23,1702.04,1.11
10.34,1702.05,-2.52
9.52,1702.06,-2.32
9.35,1702.07,-0.48
9.57,1702.08,0.61
9.97,1702.09,1.15
9.66,1702.1,-0.9
8.69,1702.11,-2.73
7.34,1702.12,-3.83
6.76,1702.13,-1.65
6.98,1702.14,0.62
7.57,1702.15,1.69
7.92,1702.16,0.99
7.23,1702.17,-1.95
6.74,1702.18,-1.39
6.8,1702.19,0.15
7.73,1702.2,2.65
8.82,1702.21,3.08
9.9,1702.22,3.06
10.37,1702.23,1.32
10.69,1702.24,0.91
10.9,1702.25,0.59
10.99,1702.26,0.25
10.81,1702.27,-0.5
10.6,1702.28,-0.59
10.58,1702.29,-0.06
10.27,1702.3,-0.89
9.68,1702.31,-1.67
9.55,1702.32,-0.37
9.9,1702.33,1.01
10.1,1702.34,0.57
10.22,1702.35,0.32
10.19,1702.36,-0.08
9.87,1702.37,-0.89
9.23,1702.38,-1.81
8.89,1702.39,-0.98
8.65,1702.4,-0.67
9.39,1702.41,2.09
9.02,1702.42,-1.05
8.89,1702.43,-0.36
8.71,1702.44,-0.5
8.88,1702.45,0.48
9.19,1702.46,0.88
9.83,1702.47,1.8
10.55,1702.48,2.06
11.12,1702.49,1.6
11.56,1702.5,1.25
11.62,1702.51,0.19
11.05,1702.52,-1.63
10.24,1702.53,-2.29
9.29,1702.54,-2.69
8.68,1702.55,-1.73
8.98,1702.56,0.84
9.47,1702.57,1.39
10.28,1702.58,2.31
11.07,1702.59,2.25
11.19,1702.6,0.35
10.7,1702.61,-1.41
10.39,1702.62,-0.87
10.88,1702.63,1.4
11.5,1702.64,1.76
11.05,1702.65,-1.27
10.37,1702.66,-1.95
9.79,1702.67,-1.64
9.89,1702.68,0.3
9.71,1702.69,-0.54
9.62,1702.7,-0.25
9.23,1702.71,-1.09
8.88,1702.72,-0.99
8.72,1702.73,-0.48
8.7,1702.74,-0.04
8.33,1702.75,-1.04
8.58,1702.76,0.69
9.07,1702.77,1.39
9.99,1702.78,2.6
11.25,1702.79,3.57
11.52,1702.8,0.77
10.55,1702.81,-2.73
9.75,1702.82,-2.28
9.55,1702.83,-0.58
10.13,1702.84,1.64
10.56,1702.85,1.23
10.88,1702.86,0.91
10.91,1702.87,0.07
10.46,1702.88,-1.28
9.84,1702.89,-1.74
9.91,1702.9,0.18
10.3,1702.91,1.11
10.58,1702.92,0.8
10.83,1702.93,0.71
10.86,1702.94,0.1
11.28,1702.95,1.18
11.59,1702.96,0.89
11.52,1702.97,-0.2
11.15,1702.98,-1.05
11.18,1702.99,0.07
11.18,1703.0,0.01
11.43,1703.01,0.7
10.8,1703.02,-1.78
9.5,1703.03,-3.69
8.68,1703.04,-2.31
8.6,1703.05,-0.22
8.8,1703.06,0.55
9.04,1703.07,0.69
9.25,1703.08,0.59
9.8,1703.09,1.56
10.12,1703.1,0.9
10.28,1703.11,0.47
10.56,1703.12,0.79
11.5,1703.13,2.67
12.18,1703.14,1.93
12.41,1703.15,0.63
12.1,1703.16,-0.85
11.53,1703.17,-1.64
11.33,1703.18,-0.57
11.15,1703.19,-0.49
10.52,1703.2,-1.8
9.59,1703.21,-2.64
8.62,1703.22,-2.74
8.34,1703.23,-0.8
9.16,1703.24,2.33
10.12,1703.25,2.74
10.38,1703.26,0.73
10.15,1703.27,-0.65
10.0,1703.28,-0.44
10.63,1703.29,1.79
11.79,1703.3,3.29
12.91,1703.31,3.16
13.18,1703.32,0.78
12.78,1703.33,-1.13
12.37,1703.34,-1.18
12.62,1703.35,0.71
12.46,1703.36,-0.46
11.59,1703.37,-2.47
10.35,1703.38,-3.5
9.74,1703.39,-1.73
9.7,1703.4,-0.1
10.04,1703.41,0.95
10.58,1703.42,1.54
10.75,1703.43,0.46
9.9,1703.44,-2.39
10.03,1703.45,0.37
10.19,1703.46,0.45
10.5,1703.47,0.86
11.01,1703.48,1.45
11.67,1703.49,1.88
11.27,1703.5,-1.14
10.81,1703.51,-1.3
11.03,1703.52,0.63
11.46,1703.53,1.22
11.88,1703.54,1.19
11.21,1703.55,-1.89
10.22,1703.56,-2.83
9.65,1703.57,-1.6
9.23,1703.58,-1.2
8.95,1703.59,-0.78
10.03,1703.6,3.05
12.41,1703.61,6.74
13.08,1703.62,1.89
11.75,1703.63,-3.75
11.73,1703.64,-0.07
11.7,1703.65,-0.07
12.12,1703.66,1.17
12.44,1703.67,0.9
12.77,1703.68,0.95
13.03,1703.69,0.72
12.39,1703.7,-1.79
11.98,1703.71,-1.18
11.04,1703.72,-2.65
10.01,1703.73,-2.92
9.59,1703.74,-1.19
9.79,1703.75,0.56
10.28,1703.76,1.4
11.5,1703.77,3.44
12.2,1703.78,2.0
12.42,1703.79,0.62
11.39,1703.8,-2.92
10.83,1703.81,-1.6
10.31,1703.82,-1.47
10.05,1703.83,-0.72
10.27,1703.84,0.61
