Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
33.55,144.03,0.78
33.7,144.04,0.42
33.55,144.05,-0.41
33.31,144.06,-0.69
33.59,144.07,0.77
33.71,144.08,0.35
33.88,144.09,0.47
33.84,144.1,-0.11
33.58,144.11,-0.73
33.53,144.12,-0.14
33.75,144.13,0.63
33.4,144.14,-1.0
33.57,144.15,0.5
33.46,144.16,-0.33
33.33,144.17,-0.37
33.6,144.18,0.76
33.86,144.19,0.73
33.93,144.2,0.19
34.38,144.21,1.29
34.13,144.22,-0.72
34.37,144.23,0.7
34.84,144.24,1.32
34.73,144.25,-0.31
34.71,144.26,-0.05
34.42,144.27,-0.82
34.38,144.28,-0.12
34.17,144.29,-0.59
34.18,144.3,0.01
33.81,144.31,-1.04
33.46,144.32,-0.99
32.79,144.33,-1.91
32.72,144.34,-0.2
32.83,144.35,0.31
33.21,144.36,1.09
33.56,144.37,0.99
33.54,144.38,-0.06
33.68,144.39,0.39
33.67,144.4,-0.04
33.69,144.41,0.07
33.54,144.42,-0.42
33.59,144.43,0.14
33.67,144.44,0.22
33.78,144.45,0.31
33.85,144.46,0.21
33.93,144.47,0.24
34.12,144.48,0.51
34.2,144.49,0.24
33.84,144.5,-1.01
33.58,144.51,-0.74
33.5,144.52,-0.22
33.56,144.53,0.15
33.28,144.54,-0.79
33.1,144.55,-0.5
32.98,144.56,-0.33
32.95,144.57,-0.09
32.91,144.58,-0.13
33.14,144.59,0.68
33.1,144.6,-0.13
33.09,144.61,-0.03
33.37,144.62,0.8
33.83,144.63,1.29
34.09,144.64,0.76
34.22,144.65,0.37
34.28,144.66,0.14
34.4,144.67,0.34
34.31,144.68,-0.24
34.58,144.69,0.76
34.41,144.7,-0.47
34.38,144.71,-0.07
34.28,144.72,-0.28
34.6,144.73,0.9
34.42,144.74,-0.53
34.53,144.75,0.31
34.39,144.76,-0.4
34.53,144.77,0.41
34.4,144.78,-0.38
34.34,144.79,-0.18
33.93,144.8,-1.15
33.97,144.81,0.12
33.87,144.82,-0.3
33.57,144.83,-0.84
33.35,144.84,-0.63
33.25,144.85,-0.27
33.6,144.86,0.97
33.39,144.87,-0.59
33.04,144.88,-0.99
33.31,144.89,0.78
33.41,144.9,0.28
33.47,144.91,0.16
33.27,144.92,-0.57
32.97,144.93,-0.83
32.95,144.94,-0.07
32.93,144.95,-0.06
33.04,144.96,0.31
33.08,144.97,0.12
33.68,144.98,1.71
34.09,144.99,1.15
34.52,145.0,1.23
34.81,145.01,0.83
34.84,145.02,0.08
34.73,145.03,-0.31
34.49,145.04,-0.7
34.25,145.05,-0.68
34.12,145.06,-0.36
33.76,145.07,-1.02
33.35,145.08,-1.16
33.09,145.09,-0.72
32.85,145.1,-0.69
33.12,145.11,0.76
33.35,145.12,0.64
33.34,145.13,-0.03
32.97,145.14,-1.06
32.7,145.15,-0.75
32.85,145.16,0.43
32.89,145.17,0.11
32.78,145.18,-0.3
32.95,145.19,0.47
33.2,145.2,0.69
33.49,145.21,0.85
33.84,145.22,0.98
34.06,145.23,0.61
34.11,145.24,0.16
33.87,145.25,-0.69
33.51,145.26,-1.02
33.69,145.27,0.51
34.0,145.28,0.88
33.93,145.29,-0.19
33.97,145.3,0.1
33.99,145.31,0.06
34.07,145.32,0.21
33.99,145.33,-0.23
33.89,145.34,-0.27
33.69,145.35,-0.57
33.93,145.36,0.68
34.23,145.37,0.86
34.18,145.38,-0.16
34.42,145.39,0.7
34.59,145.4,0.47
34.67,145.41,0.23
34.45,145.42,-0.63
34.12,145.43,-0.92
34.13,145.44,0.01
33.83,145.45,-0.84
33.85,145.46,0.06
33.69,145.47,-0.44
33.74,145.48,0.13
33.95,145.49,0.6
33.83,145.5,-0.34
33.97,145.51,0.38
34.28,145.52,0.89
33.98,145.53,-0.84
34.02,145.54,0.11
33.88,145.55,-0.39
33.64,145.56,-0.67
33.49,145.57,-0.43
32.98,145.58,-1.44
32.8,145.59,-0.53
32.48,145.6,-0.9
32.67,145.61,0.55
32.57,145.62,-0.3
32.58,145.63,0.03
32.44,145.64,-0.38
32.52,145.65,0.2
32.84,145.66,0.93
33.23,145.67,1.1
33.48,145.68,0.71
33.63,145.69,0.41
34.04,145.7,1.15
34.29,145.71,0.72
34.34,145.72,0.14
34.19,145.73,-0.43
34.55,145.74,1.04
34.8,145.75,0.71
34.75,145.76,-0.15
34.54,145.77,-0.6
34.09,145.78,-1.28
34.15,145.79,0.17
33.71,145.8,-1.25
33.24,145.81,-1.34
33.29,145.82,0.16
33.2,145.83,-0.27
32.99,145.84,-0.58
32.85,145.85,-0.39
32.93,145.86,0.22
33.17,145.87,0.69
33.53,145.88,1.01
33.45,145.89,-0.23
33.59,145.9,0.4
33.86,145.91,0.77
33.92,145.92,0.16
34.1,145.93,0.51
34.03,145.94,-0.2
33.61,145.95,-1.18
33.57,145.96,-0.13
33.37,145.97,-0.58
33.33,145.98,-0.1
33.3,145.99,-0.09
33.14,146.0,-0.46
33.27,146.01,0.36
33.54,146.02,0.79
33.58,146.03,0.09
33.62,146.04,0.13
33.8,146.05,0.5
33.68,146.06,-0.33
33.73,146.07,0.13
33.96,146.08,0.66
34.11,146.09,0.43
33.92,146.1,-0.54
33.77,146.11,-0.44
33.76,146.12,-0.04
33.54,146.13,-0.6
33.67,146.14,0.37
33.36,146.15,-0.89
33.39,146.16,0.08
33.53,146.17,0.39
33.74,146.18,0.6
33.75,146.19,0.03
33.86,146.2,0.32
33.85,146.21,-0.02
33.63,146.22,-0.63
33.47,146.23,-0.44
33.51,146.24,0.1
33.2,146.25,-0.86
33.48,146.26,0.78
33.41,146.27,-0.2
33.59,146.28,0.51
33.62,146.29,0.09
33.66,146.3,0.13
33.66,146.31,-0.01
33.6,146.32,-0.17
33.81,146.33,0.59
33.84,146.34,0.1
33.98,146.35,0.38
34.26,146.36,0.79
34.05,146.37,-0.6
34.38,146.38,0.95
34.07,146.39,-0.88
33.96,146.4,-0.3
33.92,146.41,-0.12
33.71,146.42,-0.59
33.75,146.43,0.12
33.52,146.44,-0.66
33.45,146.45,-0.18
33.32,146.46,-0.37
33.35,146.47,0.08
33.65,146.48,0.86
33.7,146.49,0.13
33.76,146.5,0.17
33.88,146.51,0.35
33.66,146.52,-0.65
33.74,146.53,0.23
33.74,146.54,0.01
33.53,146.55,-0.59
33.77,146.56,0.67
33.78,146.57,0.04
33.75,146.58,-0.1
33.77,146.59,0.05
33.65,146.6,-0.34
33.56,146.61,-0.23
33.36,146.62,-0.57
33.75,146.63,1.1
33.75,146.64,0.0
33.82,146.65,0.19
33.51,146.66,-0.86
33.55,146.67,0.12
33.18,146.68,-1.06
33.21,146.69,0.07
33.13,146.7,-0.21
33.44,146.71,0.88
33.38,146.72,-0.18
33.48,146.73,0.3
33.45,146.74,-0.08
33.83,146.75,1.05
33.91,146.76,0.25
34.18,146.77,0.74
34.02,146.78,-0.46
33.72,146.79,-0.85
33.8,146.8,0.23
33.54,146.81,-0.73
