Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
14.5,1380.61,0.03
13.57,1380.62,-2.65
13.02,1380.63,-1.54
13.35,1380.64,0.92
14.3,1380.65,2.7
15.54,1380.66,3.5
18.6,1380.67,8.68
19.67,1380.68,3.03
18.58,1380.69,-3.1
17.16,1380.7,-4.0
15.58,1380.71,-4.48
15.11,1380.72,-1.35
14.66,1380.73,-1.27
14.73,1380.74,0.2
15.07,1380.75,0.95
14.5,1380.76,-1.6
14.06,1380.77,-1.25
14.89,1380.78,2.36
16.02,1380.79,3.2
16.44,1380.8,1.19
16.12,1380.81,-0.93
15.75,1380.82,-1.03
15.72,1380.83,-0.08
15.49,1380.84,-0.66
15.61,1380.85,0.33
16.37,1380.86,2.16
16.09,1380.87,-0.79
14.93,1380.88,-3.28
17.03,1380.89,5.95
18.63,1380.9,4.53
17.94,1380.91,-1.96
16.3,1380.92,-4.66
14.52,1380.93,-5.03
14.88,1380.94,1.01
13.96,1380.95,-2.6
13.47,1380.96,-1.37
12.79,1380.97,-1.93
13.65,1380.98,2.44
14.46,1380.99,2.27
14.41,1381.0,-0.14
15.54,1381.01,3.21
15.59,1381.02,0.13
15.45,1381.03,-0.39
16.08,1381.04,1.8
16.03,1381.05,-0.15
16.48,1381.06,1.28
19.32,1381.07,8.04
20.15,1381.08,2.34
20.29,1381.09,0.42
20.51,1381.1,0.61
20.13,1381.11,-1.07
18.85,1381.12,-3.63
19.01,1381.13,0.44
19.37,1381.14,1.05
17.46,1381.15,-5.42
19.94,1381.16,7.02
20.28,1381.17,0.97
19.46,1381.18,-2.34
19.44,1381.19,-0.05
17.27,1381.2,-6.14
17.64,1381.21,1.04
17.46,1381.22,-0.52
17.46,1381.23,0.01
17.46,1381.24,0.02
16.78,1381.25,-1.94
16.02,1381.26,-2.14
16.3,1381.27,0.79
15.94,1381.28,-1.03
15.73,1381.29,-0.61
16.3,1381.3,1.63
16.77,1381.31,1.34
17.11,1381.32,0.95
16.76,1381.33,-0.99
18.29,1381.34,4.33
18.81,1381.35,1.47
17.72,1381.36,-3.07
18.04,1381.37,0.91
18.24,1381.38,0.57
18.9,1381.39,1.86
18.53,1381.4,-1.05
17.82,1381.41,-2.0
18.08,1381.42,0.74
17.13,1381.43,-2.69
17.39,1381.44,0.73
18.53,1381.45,3.23
18.73,1381.46,0.57
18.61,1381.47,-0.34
18.86,1381.48,0.69
17.74,1381.49,-3.17
17.03,1381.5,-1.99
17.81,1381.51,2.21
18.6,1381.52,2.22
19.21,1381.53,1.73
19.77,1381.54,1.59
18.92,1381.55,-2.42
19.1,1381.56,0.52
19.66,1381.57,1.6
18.52,1381.58,-3.24
16.91,1381.59,-4.56
