Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
23.37,1182.2,-3.4
21.44,1182.21,-5.49
21.97,1182.22,1.52
22.81,1182.23,2.38
22.91,1182.24,0.28
22.94,1182.25,0.07
22.89,1182.26,-0.14
22.41,1182.27,-1.34
22.47,1182.28,0.16
22.21,1182.29,-0.73
22.35,1182.3,0.39
21.98,1182.31,-1.07
21.97,1182.32,0.0
21.23,1182.33,-2.11
21.24,1182.34,0.03
20.03,1182.35,-3.44
18.2,1182.36,-5.18
18.66,1182.37,1.32
20.69,1182.38,5.74
22.92,1182.39,6.32
22.06,1182.4,-2.45
21.88,1182.41,-0.52
23.27,1182.42,3.95
24.79,1182.43,4.31
26.4,1182.44,4.57
26.2,1182.45,-0.59
26.51,1182.46,0.9
24.61,1182.47,-5.38
23.35,1182.48,-3.59
22.23,1182.49,-3.18
21.24,1182.5,-2.8
21.82,1182.51,1.64
19.93,1182.52,-5.34
21.53,1182.53,4.53
22.33,1182.54,2.26
21.59,1182.55,-2.1
21.79,1182.56,0.57
22.09,1182.57,0.85
22.28,1182.58,0.54
21.74,1182.59,-1.53
21.34,1182.6,-1.12
19.04,1182.61,-6.51
18.56,1182.62,-1.36
18.82,1182.63,0.74
18.17,1182.64,-1.85
17.73,1182.65,-1.26
18.26,1182.66,1.52
19.93,1182.67,4.73
22.78,1182.68,8.07
24.67,1182.69,5.33
28.15,1182.7,9.85
24.54,1182.71,-10.22
21.22,1182.72,-9.39
20.13,1182.73,-3.09
19.25,1182.74,-2.5
16.8,1182.75,-6.93
13.43,1182.76,-9.55
10.62,1182.77,-7.95
11.91,1182.78,3.64
18.1,1182.79,17.54
25.73,1182.8,21.6
27.04,1182.81,3.72
24.25,1182.82,-7.88
22.71,1182.83,-4.39
25.08,1182.84,6.73
24.4,1182.85,-1.93
24.58,1182.86,0.52
26.25,1182.87,4.72
23.77,1182.88,-7.02
23.78,1182.89,0.04
23.94,1182.9,0.45
23.95,1182.91,0.05
23.74,1182.92,-0.61
23.15,1182.93,-1.66
21.95,1182.94,-3.41
20.21,1182.95,-4.91
21.27,1182.96,3.01
22.66,1182.97,3.91
21.89,1182.98,-2.18
19.55,1182.99,-6.61
18.68,1183.0,-2.47
18.49,1183.01,-0.55
18.83,1183.02,0.98
19.75,1183.03,2.59
19.54,1183.04,-0.59
19.08,1183.05,-1.3
20.36,1183.06,3.63
23.62,1183.07,9.23
24.38,1183.08,2.15
26.98,1183.09,7.36
24.51,1183.1,-6.99
20.98,1183.11,-10.01
19.29,1183.12,-4.77
18.12,1183.13,-3.33
16.89,1183.14,-3.47
16.96,1183.15,0.19
17.94,1183.16,2.77
18.77,1183.17,2.35
19.03,1183.18,0.73
20.23,1183.19,3.4
20.4,1183.2,0.48
20.92,1183.21,1.49
20.08,1183.22,-2.39
19.46,1183.23,-1.77
18.44,1183.24,-2.88
18.99,1183.25,1.56
17.47,1183.26,-4.3
16.06,1183.27,-4.01
19.17,1183.28,8.81
16.98,1183.29,-6.19
16.89,1183.3,-0.25
19.66,1183.31,7.83
19.81,1183.32,0.44
19.62,1183.33,-0.55
20.53,1183.34,2.58
18.26,1183.35,-6.43
20.1,1183.36,5.22
20.76,1183.37,1.87
16.99,1183.38,-10.68
15.0,1183.39,-5.63
16.41,1183.4,3.98
16.79,1183.41,1.07
19.68,1183.42,8.19
21.67,1183.43,5.63
21.61,1183.44,-0.16
23.58,1183.45,5.58
23.88,1183.46,0.83
22.69,1183.47,-3.35
23.11,1183.48,1.2
22.38,1183.49,-2.09
21.35,1183.5,-2.91
20.62,1183.51,-2.07
20.56,1183.52,-0.18
19.18,1183.53,-3.9
16.73,1183.54,-6.93
17.04,1183.55,0.86
16.79,1183.56,-0.69
15.09,1183.57,-4.84
15.8,1183.58,2.03
20.75,1183.59,14.01
22.92,1183.6,6.16
24.1,1183.61,3.33
22.69,1183.62,-3.99
20.14,1183.63,-7.22
19.26,1183.64,-2.49
21.29,1183.65,5.74
21.91,1183.66,1.75
22.66,1183.67,2.15
22.88,1183.68,0.6
21.85,1183.69,-2.92
20.35,1183.7,-4.25
18.98,1183.71,-3.86
18.41,1183.72,-1.61
19.79,1183.73,3.91
20.13,1183.74,0.96
19.08,1183.75,-2.99
20.74,1183.76,4.71
21.04,1183.77,0.84
20.23,1183.78,-2.29
19.39,1183.79,-2.38
18.3,1183.8,-3.11
18.25,1183.81,-0.12
17.09,1183.82,-3.28
16.6,1183.83,-1.39
15.82,1183.84,-2.22
15.81,1183.85,-0.03
16.19,1183.86,1.09
17.95,1183.87,4.99
18.8,1183.88,2.41
19.4,1183.89,1.7
19.97,1183.9,1.6
20.36,1183.91,1.12
21.05,1183.92,1.95
21.55,1183.93,1.39
19.98,1183.94,-4.45
18.48,1183.95,-4.23
16.77,1183.96,-4.84
15.39,1183.97,-3.93
15.66,1183.98,0.76
15.52,1183.99,-0.39
14.59,1184.0,-2.63
13.73,1184.01,-2.45
13.64,1184.02,-0.26
16.06,1184.03,6.86
17.66,1184.04,4.54
17.92,1184.05,0.74
19.48,1184.06,4.41
21.59,1184.07,5.99
24.11,1184.08,7.14
24.3,1184.09,0.54
21.74,1184.1,-7.27
18.02,1184.11,-10.52
17.53,1184.12,-1.38
17.9,1184.13,1.03
17.82,1184.14,-0.22
18.18,1184.15,1.03
18.16,1184.16,-0.07
20.07,1184.17,5.41
19.93,1184.18,-0.39
18.27,1184.19,-4.7
17.72,1184.2,-1.56
17.31,1184.21,-1.17
16.42,1184.22,-2.5
15.55,1184.23,-2.48
16.51,1184.24,2.72
16.76,1184.25,0.71
17.79,1184.26,2.89
16.87,1184.27,-2.58
16.15,1184.28,-2.05
16.42,1184.29,0.76
16.23,1184.3,-0.55
15.36,1184.31,-2.44
