Speed (km/h),Elapsed time (s),Longitudinal acceleration (g)
36.52,216.35,1.74
36.7,216.36,0.5
37.22,216.37,1.48
36.53,216.38,-1.96
37.45,216.39,2.62
36.7,216.4,-2.12
37.51,216.41,2.28
37.37,216.42,-0.39
37.38,216.43,0.02
38.05,216.44,1.9
38.87,216.45,2.32
38.42,216.46,-1.28
37.84,216.47,-1.65
37.21,216.48,-1.78
36.15,216.49,-2.99
36.08,216.5,-0.19
36.19,216.51,0.31
36.52,216.52,0.93
36.45,216.53,-0.2
37.04,216.54,1.67
36.96,216.55,-0.25
36.92,216.56,-0.1
37.02,216.57,0.29
37.6,216.58,1.65
37.08,216.59,-1.5
37.3,216.6,0.64
37.45,216.61,0.42
37.42,216.62,-0.09
37.67,216.63,0.71
38.08,216.64,1.17
37.7,216.65,-1.08
37.48,216.66,-0.62
36.68,216.67,-2.27
36.24,216.68,-1.24
36.66,216.69,1.18
36.66,216.7,0.0
36.67,216.71,0.04
37.11,216.72,1.25
37.14,216.73,0.09
36.91,216.74,-0.66
37.38,216.75,1.32
38.19,216.76,2.31
38.29,216.77,0.29
37.42,216.78,-2.48
36.44,216.79,-2.76
36.18,216.8,-0.74
35.85,216.81,-0.93
36.43,216.82,1.63
36.93,216.83,1.42
36.45,216.84,-1.37
36.54,216.85,0.25
36.72,216.86,0.5
36.77,216.87,0.16
36.75,216.88,-0.07
36.95,216.89,0.58
36.81,216.9,-0.41
37.33,216.91,1.48
37.6,216.92,0.77
37.11,216.93,-1.37
36.93,216.94,-0.54
36.31,216.95,-1.75
36.06,216.96,-0.69
36.41,216.97,0.99
37.05,216.98,1.8
37.24,216.99,0.54
37.82,217.0,1.65
37.7,217.01,-0.33
37.6,217.02,-0.3
37.24,217.03,-1.02
36.77,217.04,-1.31
36.5,217.05,-0.79
36.32,217.06,-0.49
36.01,217.07,-0.87
36.29,217.08,0.79
36.41,217.09,0.34
36.76,217.1,0.98
37.01,217.11,0.72
36.73,217.12,-0.8
36.48,217.13,-0.71
36.38,217.14,-0.29
36.17,217.15,-0.58
36.26,217.16,0.24
36.24,217.17,-0.04
36.31,217.18,0.18
36.33,217.19,0.08
36.63,217.2,0.83
37.09,217.21,1.31
37.2,217.22,0.31
37.0,217.23,-0.57
37.29,217.24,0.83
37.32,217.25,0.08
37.02,217.26,-0.85
37.17,217.27,0.42
37.06,217.28,-0.31
36.97,217.29,-0.24
36.74,217.3,-0.67
36.24,217.31,-1.39
36.62,217.32,1.08
36.85,217.33,0.64
36.44,217.34,-1.17
36.32,217.35,-0.33
36.43,217.36,0.31
36.04,217.37,-1.12
35.77,217.38,-0.76
35.85,217.39,0.24
35.9,217.4,0.12
35.94,217.41,0.14
35.81,217.42,-0.37
36.14,217.43,0.91
36.34,217.44,0.57
36.21,217.45,-0.35
35.91,217.46,-0.86
35.95,217.47,0.12
35.95,217.48,0.01
35.85,217.49,-0.28
35.75,217.5,-0.3
35.26,217.51,-1.37
35.09,217.52,-0.49
34.84,217.53,-0.7
34.82,217.54,-0.06
34.99,217.55,0.48
35.39,217.56,1.14
35.68,217.57,0.81
36.02,217.58,0.97
35.95,217.59,-0.2
36.17,217.6,0.61
36.17,217.61,0.0
35.46,217.62,-2.02
35.46,217.63,-0.01
35.5,217.64,0.12
35.41,217.65,-0.26
35.45,217.66,0.11
35.74,217.67,0.84
35.37,217.68,-1.07
35.58,217.69,0.61
35.39,217.7,-0.55
35.05,217.71,-0.95
35.47,217.72,1.2
36.05,217.73,1.63
35.63,217.74,-1.2
35.38,217.75,-0.69
35.84,217.76,1.29
35.36,217.77,-1.36
35.8,217.78,1.25
35.94,217.79,0.42
35.72,217.8,-0.63
35.62,217.81,-0.29
36.22,217.82,1.69
36.25,217.83,0.1
35.69,217.84,-1.59
35.12,217.85,-1.62
34.37,217.86,-2.12
34.43,217.87,0.16
34.71,217.88,0.79
34.89,217.89,0.53
35.0,217.9,0.29
34.53,217.91,-1.31
34.52,217.92,-0.03
34.98,217.93,1.29
34.45,217.94,-1.49
34.75,217.95,0.83
34.86,217.96,0.32
35.22,217.97,1.03
35.34,217.98,0.33
35.1,217.99,-0.67
34.78,218.0,-0.91
34.89,218.01,0.3
35.0,218.02,0.32
34.79,218.03,-0.59
34.99,218.04,0.56
35.15,218.05,0.46
35.43,218.06,0.79
34.89,218.07,-1.53
34.19,218.08,-1.99
33.88,218.09,-0.88
33.84,218.1,-0.11
33.9,218.11,0.16
34.27,218.12,1.05
34.97,218.13,2.01
34.61,218.14,-1.04
34.27,218.15,-0.97
34.39,218.16,0.36
34.89,218.17,1.41
34.7,218.18,-0.54
34.72,218.19,0.06
34.65,218.2,-0.19
34.51,218.21,-0.41
34.42,218.22,-0.26
34.42,218.23,0.02
34.33,218.24,-0.27
34.37,218.25,0.13
34.08,218.26,-0.84
33.95,218.27,-0.37
34.41,218.28,1.32
34.94,218.29,1.48
35.15,218.3,0.59
35.36,218.31,0.61
35.79,218.32,1.23
35.53,218.33,-0.74
35.21,218.34,-0.9
34.7,218.35,-1.45
34.41,218.36,-0.83
34.25,218.37,-0.46
34.58,218.38,0.95
34.58,218.39,0.01
34.29,218.4,-0.84
34.16,218.41,-0.37
34.64,218.42,1.35
34.74,218.43,0.28
