UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Trigger event time (s),Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Radius of turn (m),Speed_|_ReplacedChannel_|__|_ContextSpecificChannel_|_f82f7070-678c-48b4-9531-f2a604a7595e,Longitudinal acceleration_|_ReplacedChannel_|__|_ContextSpecificChannel_|_f82f7070-678c-48b4-9531-f2a604a7595e (g)
042228.900,7,0.22,346.6,12°57.649418 N,77°30.795995 E,0,0,0,0,747.34,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.192905472636816,0.00
042228.910,7,0.33,307.7,12°57.649419 N,77°30.795978 E,0,0,0,0,747.41,1.43,0.00,0.01,0.00,0.64,0.33,0.00,0.00,0.192641791044776,0.00
042228.920,7,0.16,354.8,12°57.649420 N,77°30.795978 E,0,0,0,0,747.41,0.89,0.00,0.02,0.00,-0.36,-0.50,0.01,0.00,0.19307960199005,0.00
042228.930,7,0.10,273.4,12°57.649419 N,77°30.795977 E,0,0,0,0,747.41,0.76,0.00,0.03,0.00,0.40,-0.16,0.01,0.00,0.193223880597015,0.00
042228.940,7,0.08,214.6,12°57.649419 N,77°30.795977 E,0,0,0,0,747.40,-0.08,0.00,0.04,0.00,0.23,-0.06,0.01,0.00,0.194194029850746,0.00
042228.950,7,0.21,181.2,12°57.649419 N,77°30.795977 E,0,0,0,0,747.40,-0.58,0.00,0.05,0.00,0.35,0.38,0.01,0.00,0.19352736318408,0.00
042228.960,7,0.23,164.3,12°57.649418 N,77°30.795977 E,0,0,0,0,747.40,-0.40,0.00,0.06,0.00,0.19,0.04,0.01,0.00,0.193706467661692,0.00
042228.970,7,0.11,221.6,12°57.649419 N,77°30.795976 E,0,0,0,0,747.40,-0.11,0.00,0.07,0.00,-0.31,-0.34,0.01,0.00,0.195124378109453,0.00
042228.980,7,0.17,282.1,12°57.649419 N,77°30.795976 E,0,0,0,0,747.41,0.34,0.00,0.08,0.00,-0.50,0.17,0.01,0.00,0.195363184079602,0.00
042228.990,7,0.27,287.0,12°57.649420 N,77°30.795975 E,0,0,0,0,747.41,0.36,0.00,0.09,0.00,-0.06,0.28,0.01,0.00,0.194427860696518,0.00
042229.000,7,0.07,312.0,12°57.649420 N,77°30.795975 E,0,0,0,0,747.41,0.23,0.00,0.10,0.00,-0.09,-0.55,0.01,0.00,0.19407960199005,0.00
042229.010,7,0.17,244.6,12°57.649419 N,77°30.795975 E,0,0,0,0,747.41,0.04,0.00,0.11,0.00,0.56,0.27,0.01,0.00,0.193378109452736,0.00
042229.020,7,0.09,147.6,12°57.649419 N,77°30.795975 E,0,0,0,0,747.41,-0.35,0.00,0.12,0.00,0.41,-0.24,0.01,0.00,0.19392039800995,0.00
042229.030,7,0.11,140.2,12°57.649419 N,77°30.795975 E,0,0,0,0,747.41,-0.61,0.00,0.13,0.00,0.04,0.08,0.01,0.00,0.195338308457712,0.00
042229.040,7,0.10,119.7,12°57.649419 N,77°30.795975 E,0,0,0,0,747.41,-0.49,0.00,0.14,0.00,0.10,-0.03,0.01,0.00,0.196398009950249,0.00
042229.050,7,0.06,120.8,12°57.649419 N,77°30.795974 E,0,0,0,0,747.42,-0.20,0.00,0.15,0.00,0.00,-0.13,0.01,0.00,0.197412935323383,0.00
042229.060,7,0.05,253.2,12°57.649419 N,77°30.795974 E,0,0,0,0,747.42,0.43,0.00,0.16,0.00,-0.32,-0.02,0.01,0.00,0.19844776119403,0.00
042229.070,7,0.25,9.1,12°57.649421 N,77°30.795975 E,0,0,0,0,747.43,0.17,0.00,0.17,0.00,2.99,0.56,0.01,0.00,0.198437810945274,0.00
042229.080,7,0.32,319.8,12°57.649421 N,77°30.795974 E,0,0,0,0,747.43,0.41,0.00,0.18,0.00,0.79,0.21,0.01,0.00,0.198457711442786,0.00
042229.090,7,0.07,289.7,12°57.649420 N,77°30.795974 E,0,0,0,0,747.43,-0.51,0.00,0.19,0.00,0.11,-0.71,0.01,0.00,0.198611940298508,0.00
042229.100,7,0.06,18.1,12°57.649421 N,77°30.795974 E,0,0,0,0,747.43,-0.77,0.00,0.20,0.00,0.78,-0.04,0.01,0.00,0.19818407960199,0.00
042229.110,7,0.17,290.6,12°57.649421 N,77°30.795973 E,0,0,0,0,747.43,-0.33,0.00,0.21,0.00,-2.30,0.32,0.01,0.00,0.197681592039801,0.00
042229.120,7,0.18,291.2,12°57.649421 N,77°30.795973 E,0,0,0,0,747.43,-0.11,0.00,0.22,0.00,-0.01,0.03,0.01,0.00,0.197383084577115,0.00
042229.130,7,0.23,249.8,12°57.649420 N,77°30.795971 E,0,0,0,0,747.43,0.27,0.00,0.23,0.00,0.47,0.13,0.01,0.00,0.198029850746269,0.00
042229.140,7,0.14,259.2,12°57.649420 N,77°30.795971 E,0,0,0,0,747.43,0.31,0.00,0.24,0.00,-0.07,-0.25,0.01,0.00,0.198626865671642,0.00
042229.150,7,0.29,264.2,12°57.649420 N,77°30.795971 E,0,0,0,0,747.43,0.29,0.00,0.25,0.00,-0.07,0.42,0.01,0.00,0.198238805970149,0.00
042229.160,7,0.38,233.2,12°57.649419 N,77°30.795970 E,0,0,0,0,747.44,0.57,0.00,0.26,0.00,0.59,0.27,0.01,0.00,0.198014925373134,0.00
042229.170,7,0.20,237.6,12°57.649420 N,77°30.795970 E,0,0,0,0,747.44,0.49,0.00,0.27,0.00,-0.04,-0.52,0.01,0.00,0.19718407960199,0.00
042229.180,7,0.13,78.5,12°57.649421 N,77°30.795969 E,0,0,0,0,747.44,-0.16,0.00,0.28,0.00,1.05,-0.18,0.01,0.00,0.196542288557214,0.00
042229.190,7,0.35,37.9,12°57.649422 N,77°30.795970 E,0,0,0,0,747.44,-0.21,0.00,0.29,0.00,0.70,0.60,0.01,0.00,0.196014925373134,0.00
042229.200,7,0.36,61.3,12°57.649421 N,77°30.795971 E,0,0,0,0,747.43,-0.82,0.00,0.30,0.00,-0.42,0.04,0.01,0.00,0.195497512437811,0.00
042229.210,7,0.29,61.0,12°57.649422 N,77°30.795971 E,0,0,0,0,747.43,-0.70,0.00,0.31,0.00,0.00,-0.19,0.01,0.00,0.195134328358209,0.00
042229.220,7,0.06,231.3,12°57.649421 N,77°30.795969 E,0,0,0,0,747.44,0.15,0.00,0.32,0.00,-0.53,-0.65,0.01,0.00,0.195059701492537,0.00
042229.230,7,0.13,236.7,12°57.649421 N,77°30.795969 E,0,0,0,0,747.43,-0.43,0.00,0.33,0.00,-0.04,0.20,0.01,0.00,0.195129353233831,0.00
