UTC time,Satellites,Speed (km/h),Heading (Degrees),Latitude,Longitude,BrakeTrigger,Dgps,Wav file,Dual Antenna Status,Height (m),Vertical velocity (km/h),Trigger event time (s),Elapsed time (s),Distance (m),Lateral acceleration (g),Longitudinal acceleration (g),Relative height (m),Radius of turn (m),Speed_|_ReplacedChannel_|__|_ContextSpecificChannel_|_f82f7070-678c-48b4-9531-f2a604a7595e,Longitudinal acceleration_|_ReplacedChannel_|__|_ContextSpecificChannel_|_f82f7070-678c-48b4-9531-f2a604a7595e (g)
144616.790,7,0.17,131.4,12°56.657438 N,77°31.780271 E,0,0,0,0,736.59,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.233731343283582,0.00
144616.800,7,0.07,43.9,12°56.657438 N,77°31.780271 E,0,0,0,0,736.59,0.29,0.00,0.01,0.00,0.29,-0.29,0.00,0.00,0.233835820895523,0.00
144616.810,7,0.05,215.7,12°56.657438 N,77°31.780270 E,0,0,0,0,736.59,-0.33,0.00,0.02,0.00,-0.41,-0.05,0.00,0.00,0.234666666666667,0.00
144616.820,7,0.18,289.2,12°56.657438 N,77°31.780270 E,0,0,0,0,736.59,-0.35,0.00,0.03,0.00,-0.66,0.38,0.00,0.00,0.235139303482587,0.00
144616.830,7,0.26,307.9,12°56.657439 N,77°31.780270 E,0,0,0,0,736.59,-0.42,0.00,0.04,0.00,-0.24,0.23,0.00,0.00,0.236164179104478,0.00
144616.840,7,0.27,170.8,12°56.657437 N,77°31.780271 E,0,0,0,0,736.59,-0.48,0.00,0.05,0.00,1.80,0.01,0.00,0.00,0.235980099502488,0.00
144616.850,7,0.31,181.3,12°56.657437 N,77°31.780271 E,0,0,0,0,736.59,-0.19,0.00,0.06,0.00,-0.16,0.13,0.00,0.00,0.235457711442786,0.00
144616.860,7,0.53,210.9,12°56.657436 N,77°31.780269 E,0,0,0,0,736.58,-0.47,0.00,0.07,0.00,-0.77,0.62,0.00,0.00,0.236606965174129,0.00
144616.870,7,0.47,203.5,12°56.657436 N,77°31.780269 E,0,0,0,0,736.58,-0.30,0.00,0.08,0.00,0.17,-0.16,0.00,0.00,0.238477611940299,0.01
144616.880,7,0.16,205.5,12°56.657437 N,77°31.780270 E,0,0,0,0,736.58,0.08,0.00,0.09,0.00,-0.02,-0.88,0.00,0.00,0.24018407960199,0.00
144616.890,7,0.26,155.9,12°56.657436 N,77°31.780270 E,0,0,0,0,736.59,0.72,0.00,0.10,0.00,0.64,0.28,0.00,0.00,0.240671641791045,0.00
144616.900,7,0.13,127.1,12°56.657436 N,77°31.780270 E,0,0,0,0,736.58,0.04,0.00,0.11,0.00,0.19,-0.36,0.00,0.00,0.240825870646766,0.00
144616.910,7,0.32,53.4,12°56.657438 N,77°31.780271 E,0,0,0,0,736.58,-0.27,0.00,0.12,0.00,1.16,0.52,0.00,0.00,0.241611940298508,0.00
144616.920,7,0.30,57.6,12°56.657438 N,77°31.780272 E,0,0,0,0,736.59,0.27,0.00,0.13,0.00,-0.06,-0.06,0.00,0.00,0.243134328358209,0.00
144616.930,7,0.13,171.1,12°56.657436 N,77°31.780271 E,0,0,0,0,736.58,0.09,0.00,0.14,0.00,-0.74,-0.47,0.00,0.00,0.243348258706468,0.00
144616.940,7,0.09,10.5,12°56.657437 N,77°31.780271 E,0,0,0,0,736.58,-0.18,0.00,0.15,0.00,0.72,-0.11,0.00,0.00,0.242601990049751,0.00
144616.950,7,0.23,78.9,12°56.657437 N,77°31.780272 E,0,0,0,0,736.58,0.09,0.00,0.16,0.00,-0.76,0.38,0.00,0.00,0.243378109452736,0.00
144616.960,7,0.38,44.2,12°56.657438 N,77°31.780273 E,0,0,0,0,736.58,0.36,0.00,0.17,0.00,0.64,0.43,0.00,0.00,0.243810945273632,0.00
144616.970,7,0.50,47.2,12°56.657440 N,77°31.780273 E,0,0,0,0,736.59,0.26,0.00,0.18,0.00,-0.07,0.36,0.00,0.00,0.244427860696518,0.00
144616.980,7,0.14,312.1,12°56.657439 N,77°31.780272 E,0,0,0,0,736.59,0.04,0.00,0.19,0.00,-1.82,-1.03,0.00,0.00,0.245388059701493,0.00
144616.990,7,0.06,312.0,12°56.657438 N,77°31.780272 E,0,0,0,0,736.58,-0.02,0.00,0.20,0.00,0.00,-0.24,0.00,0.00,0.246557213930348,0.00
144617.000,7,0.28,64.0,12°56.657439 N,77°31.780273 E,0,0,0,0,736.58,0.00,0.00,0.21,0.00,3.37,0.62,0.00,0.00,0.248308457711443,0.00
144617.010,7,0.18,153.4,12°56.657437 N,77°31.780273 E,0,0,0,0,736.58,-0.22,0.00,0.22,0.00,-0.80,-0.27,0.00,0.00,0.248771144278607,0.00
144617.020,7,0.57,212.1,12°56.657435 N,77°31.780271 E,0,0,0,0,736.58,-0.10,0.00,0.23,0.00,-1.66,1.11,0.00,0.00,0.249786069651741,0.00
144617.030,7,0.36,230.0,12°56.657437 N,77°31.780271 E,0,0,0,0,736.58,0.02,0.00,0.24,0.00,-0.32,-0.59,0.00,0.00,0.249880597014926,0.00
144617.040,7,0.26,304.2,12°56.657438 N,77°31.780271 E,0,0,0,0,736.58,-0.16,0.00,0.25,0.00,-0.96,-0.28,0.00,0.00,0.24926368159204,0.00
144617.050,7,0.30,316.3,12°56.657439 N,77°31.780271 E,0,0,0,0,736.58,-0.38,0.00,0.26,0.00,-0.18,0.10,0.00,0.00,0.249313432835821,0.00
144617.060,7,0.38,288.5,12°56.657439 N,77°31.780270 E,0,0,0,0,736.57,-1.00,0.00,0.27,0.00,0.52,0.22,0.00,0.00,0.249616915422886,0.00
144617.070,7,0.72,243.4,12°56.657437 N,77°31.780268 E,0,0,0,0,736.57,-1.04,0.00,0.28,0.00,1.61,0.98,-0.01,0.00,0.249442786069652,0.00
144617.080,7,0.67,238.1,12°56.657437 N,77°31.780268 E,0,0,0,0,736.57,-0.66,0.00,0.29,0.00,0.17,-0.16,-0.01,0.00,0.250174129353234,0.00
144617.090,7,0.47,267.4,12°56.657438 N,77°31.780268 E,0,0,0,0,736.57,-0.75,0.00,0.30,0.00,-0.68,-0.55,-0.01,0.00,0.250880597014925,0.00
144617.100,7,0.23,238.4,12°56.657438 N,77°31.780269 E,0,0,0,0,736.57,-0.19,0.00,0.31,0.00,0.33,-0.68,-0.01,0.00,0.251850746268657,0.00
144617.110,7,0.22,200.3,12°56.657437 N,77°31.780269 E,0,0,0,0,736.57,-0.12,0.00,0.32,0.00,0.41,-0.04,-0.01,0.00,0.253144278606965,0.00
144617.120,7,0.16,185.7,12°56.657437 N,77°31.780269 E,0,0,0,0,736.57,-0.25,0.00,0.33,0.00,0.12,-0.16,-0.01,0.00,0.254995024875622,0.01
144617.130,7,0.15,210.7,12°56.657437 N,77°31.780269 E,0,0,0,0,736.56,-0.69,0.00,0.34,0.00,-0.19,-0.03,-0.01,0.00,0.25652736318408,0.00
144617.140,7,0.20,39.0,12°56.657439 N,77°31.780270 E,0,0,0,0,736.57,-0.42,0.00,0.35,0.00,1.72,0.14,-0.02,0.00,0.256786069651741,0.00
144617.150,7,0.29,54.6,12°56.657439 N,77°31.780271 E,0,0,0,0,736.57,0.08,0.00,0.36,0.00,-0.23,0.26,-0.02,0.00,0.257258706467662,0.00
144617.160,7,0.23,324.2,12°56.657439 N,77°31.780269 E,0,0,0,0,736.56,-0.50,0.00,0.37,0.00,-3.04,-0.19,-0.02,0.00,0.257477611940299,0.00
144617.170,7,0.23,252.8,12°56.657437 N,77°31.780269 E,0,0,0,0,736.56,-0.09,0.00,0.38,0.00,0.80,0.00,-0.02,0.00,0.258537313432836,0.00
144617.180,7,0.27,227.6,12°56.657437 N,77°31.780268 E,0,0,0,0,736.56,0.17,0.00,0.39,0.00,0.34,0.12,-0.02,0.00,0.260835820895522,0.01
144617.190,7,0.19,65.6,12°56.657438 N,77°31.780270 E,0,0,0,0,736.56,0.10,0.00,0.40,0.00,1.55,-0.22,-0.02,0.00,0.262417910447761,0.00
144617.200,7,0.13,103.3,12°56.657438 N,77°31.780270 E,0,0,0,0,736.56,0.13,0.00,0.41,0.00,-0.24,-0.19,-0.02,0.00,0.262616915422886,0.00
